dataset_id	sample_id	K	baseline_method_id	delta_spatial_coherence	delta_marker_coherence	bayesspace_note	baseline_note
GSE311294	GSM9322960_TR11_21723	4	M2_spatial_ward	0.004667183374083006	0.10841615604704002	rigor-backfill-v4-GSE311294-GSM9322960_TR11_21723	stage3a-full-replication-m2
GSE311294	GSM9322960_TR11_21723	4	M3_spatial_leiden	-0.016118816625916965	0.48056215604704	rigor-backfill-v4-GSE311294-GSM9322960_TR11_21723	stage3a-full-replication
GSE311294	GSM9322960_TR11_21723	4	M4_spagcn	0.07663318337408298	-0.10319284395295991	rigor-backfill-v4-GSE311294-GSM9322960_TR11_21723	stage3a-full-replication-m4
GSE311294	GSM9322960_TR11_21723	4	M5_stagate	0.04136618337408304	-0.08145984395295991	rigor-backfill-v4-GSE311294-GSM9322960_TR11_21723	stage3a-full-replication-m5
GSE311294	GSM9322960_TR11_21723	6	M0_expr_kmeans	0.154874452322738	-0.014800210123709912	rigor-backfill-v4-GSE311294-GSM9322960_TR11_21723	stage3a-full-replication
GSE311294	GSM9322960_TR11_21723	6	M1_spatial_concat_kmeans	0.15529445232273797	-0.01643821012370994	rigor-backfill-v4-GSE311294-GSM9322960_TR11_21723	stage3a-full-replication
GSE311294	GSM9322960_TR11_21723	6	M2_spatial_ward	-0.031470547677261984	0.1458087898762901	rigor-backfill-v4-GSE311294-GSM9322960_TR11_21723	stage3a-full-replication-m2
GSE311294	GSM9322960_TR11_21723	6	M3_spatial_leiden	-0.058445547677261955	0.12359578987629005	rigor-backfill-v4-GSE311294-GSM9322960_TR11_21723	stage3a-full-replication
GSE311294	GSM9322960_TR11_21723	6	M4_spagcn	0.11492645232273802	-0.07697021012370997	rigor-backfill-v4-GSE311294-GSM9322960_TR11_21723	stage3a-full-replication-m4
GSE311294	GSM9322960_TR11_21723	6	M5_stagate	0.03736245232273805	0.07302378987628999	rigor-backfill-v4-GSE311294-GSM9322960_TR11_21723	stage3a-full-replication-m5
GSE311294	GSM9322961_TR16_23542	4	M0_expr_kmeans	0.049421912873077956	-0.35983432935300996	rigor-backfill-v4-GSE311294-GSM9322961_TR16_23542	stage3a-full-replication
GSE311294	GSM9322961_TR16_23542	4	M1_spatial_concat_kmeans	0.04894691287307795	-0.35910432935301007	rigor-backfill-v4-GSE311294-GSM9322961_TR16_23542	stage3a-full-replication
GSE311294	GSM9322961_TR16_23542	4	M2_spatial_ward	-0.027740087126921997	-0.36677332935301	rigor-backfill-v4-GSE311294-GSM9322961_TR16_23542	stage3a-full-replication-m2
GSE311294	GSM9322961_TR16_23542	4	M3_spatial_leiden	-0.06444008712692195	-0.6059513293530101	rigor-backfill-v4-GSE311294-GSM9322961_TR16_23542	stage3a-full-replication
GSE311294	GSM9322961_TR16_23542	4	M4_spagcn	0.047924912873077985	-0.29815032935301	rigor-backfill-v4-GSE311294-GSM9322961_TR16_23542	stage3a-full-replication-m4
GSE311294	GSM9322961_TR16_23542	4	M5_stagate	-0.004167087126922042	-0.35821432935301	rigor-backfill-v4-GSE311294-GSM9322961_TR16_23542	stage3a-full-replication-m5
GSE311294	GSM9322961_TR16_23542	6	M0_expr_kmeans	0.11184348055471793	-0.31406821753937697	rigor-backfill-v4-GSE311294-GSM9322961_TR16_23542	stage3a-full-replication
GSE311294	GSM9322961_TR16_23542	6	M1_spatial_concat_kmeans	0.11228148055471798	-0.31515521753937703	rigor-backfill-v4-GSE311294-GSM9322961_TR16_23542	stage3a-full-replication
GSE311294	GSM9322961_TR16_23542	6	M2_spatial_ward	-0.03722251944528199	-0.052290217539377015	rigor-backfill-v4-GSE311294-GSM9322961_TR16_23542	stage3a-full-replication-m2
GSE311294	GSM9322961_TR16_23542	6	M3_spatial_leiden	-0.097147519445282	-0.059341217539377045	rigor-backfill-v4-GSE311294-GSM9322961_TR16_23542	stage3a-full-replication
GSE311294	GSM9322961_TR16_23542	6	M4_spagcn	0.04932448055471794	-0.23256721753937704	rigor-backfill-v4-GSE311294-GSM9322961_TR16_23542	stage3a-full-replication-m4
GSE311294	GSM9322961_TR16_23542	6	M5_stagate	0.029258480554717914	-0.295556217539377	rigor-backfill-v4-GSE311294-GSM9322961_TR16_23542	stage3a-full-replication-m5
GSE267401	GSM8265211_CTC21P	4	M0_expr_kmeans	0.04277667393047191	0.45299145342735003	rigor-backfill-v4-GSE267401-GSM8265211_CTC21P	stage3b-full-replication
GSE267401	GSM8265211_CTC21P	4	M1_spatial_concat_kmeans	0.042527673930471965	0.4520754534273499	rigor-backfill-v4-GSE267401-GSM8265211_CTC21P	stage3b-full-replication
GSE267401	GSM8265211_CTC21P	4	M2_spatial_ward	-0.04379032606952804	0.25153445342735004	rigor-backfill-v4-GSE267401-GSM8265211_CTC21P	stage3b-full-replication-m2
GSE267401	GSM8265211_CTC21P	4	M3_spatial_leiden	-0.06664032606952808	0.96919845342735	rigor-backfill-v4-GSE267401-GSM8265211_CTC21P	stage3b-full-replication
GSE267401	GSM8265211_CTC21P	4	M4_spagcn	0.04092867393047195	0.5675744534273499	rigor-backfill-v4-GSE267401-GSM8265211_CTC21P	stage3b-full-replication-m4
GSE267401	GSM8265211_CTC21P	4	M5_stagate	0.010082673930471908	0.43813845342735	rigor-backfill-v4-GSE267401-GSM8265211_CTC21P	stage3b-full-replication-m5
GSE267401	GSM8265211_CTC21P	6	M0_expr_kmeans	0.14348142453173995	0.6676705402488099	rigor-backfill-v4-GSE267401-GSM8265211_CTC21P	stage3b-full-replication
