dataset_id	sample_id	official_method_id	method_label	K	feature_type	feature_id	genes_used	reference_id	official_reference_delta	n_alternatives	minimum_delta	maximum_delta	official_delta_range	n_sign_state_changes_vs_reference	official_any_sign_state_change_vs_reference	n_direction_reversals_vs_reference	official_any_direction_reversal_vs_reference	n_zero_involved_changes_vs_reference	all_partitions_same_direction	reference_block_delta	median_block_delta	n_partitions_with_evaluable_blocks	n_block_direction_reversals_vs_reference	any_block_direction_reversal_vs_reference	current_method_id	current_reference_delta	current_delta_range	current_any_direction_reversal_vs_reference	current_any_sign_state_change_vs_reference	reference_delta_sign_agrees
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	signature	SIG_CYTOTOX	NKG7,GNLY,GZMB,PRF1,IFNG	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	signature	SIG_EXCLUSION_CONTRAST	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	seed_11	0.2479061186584625	2	-0.1422778673739024	0.264624186667926	0.4069020540418284	1	True	1	True	0	0	0.1032568637398213	0.1032568637398213	3	0	False	BayesSpace	0.0679099990910674	0.3068467784803121	True	True	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	signature	SIG_EXCLUSION_TGFB_CXCL12	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	seed_11	0.2350419503835594	2	-0.1741399195262669	0.2350419503835594	0.4091818699098264	1	True	1	True	0	0	-0.0203707610434119	-0.0203707610434119	3	1	True	BayesSpace	0.0570280423276368	0.3857626213135297	True	True	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	signature	SIG_MY_SPP1	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	seed_11	-0.0161691734985061	2	-0.0378786229079712	-0.015746142100766	0.0221324808072051	0	False	0	False	0	1	0.0220816660639054	0.0220816660639054	3	1	True	BayesSpace	-0.007308210595959	0.0376230303566726	False	False	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	signature	SIG_TCELL	TRAC,CD3D,CD3E,CD247	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	gene	SPP1	SPP1	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	gene	COL1A1	COL1A1	seed_11	-0.3530264897600603	2	-0.3530264897600603	0.0479778966528878	0.4010043864129482	1	True	1	True	0	0	-0.2901083886006863	-0.0389351296236049	3	1	True	BayesSpace	-0.2989273875716409	0.3255826071296437	True	True	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	gene	EPCAM	EPCAM	seed_11	2.1153655075468314	2	0.3779752356475709	2.1153655075468314	1.7373902718992604	0	False	0	False	0	1	0.282015324990668	0.0	3	0	False	BayesSpace	2.10742146012732	1.6233467619176438	False	False	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	gene	FAP	FAP	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	gene	PTPRC	PTPRC	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	signature	SIG_CAF_FAP	FAP,COL1A1,DCN,COL3A1,LUM	seed_11	-0.2585533392071326	2	-0.2585533392071326	-0.0985841194176002	0.1599692197895323	0	False	0	False	0	1	-0.1511703321162356	-0.0810545356039854	3	1	True	BayesSpace	-0.233927030225779	0.0899179022144616	False	False	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	signature	SIG_CYTOTOX	NKG7,GNLY,GZMB,PRF1,IFNG	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	signature	SIG_EXCLUSION_CONTRAST	CAF:FAP,COL1A1,DCN,COL3A1,LUM;MY:SPP1,LST1,TYROBP,C1QA,C1QB,C1QC;TCELL:TRAC,CD3D,CD3E,CD247	seed_11	-0.2628576730128114	2	-0.2628576730128114	-0.1450914994053636	0.1177661736074477	0	False	0	False	0	1	-0.1070720269775646	-0.0208825120716296	3	0	False	BayesSpace	-0.2462207555304287	0.028328811236596	False	False	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	signature	SIG_EXCLUSION_TGFB_CXCL12	TGFB1,CXCL12,ACTA2,TAGLN,FAP,COL1A1	seed_11	-0.4544951073027761	2	-0.4544951073027761	-0.2458758428341161	0.2086192644686599	0	False	0	False	0	1	-0.1260042251507032	-0.0211558131066276	3	0	False	BayesSpace	-0.4975481896877409	0.1473056876355332	False	False	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	signature	SIG_MY_SPP1	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	seed_11	-0.0171593544617831	2	-0.0461841585886961	-0.0171593544617831	0.0290248041269129	0	False	0	False	0	1	0.0185846271894283	-0.0197789999879295	3	2	True	BayesSpace	-0.0165352112806588	0.0643911684481925	False	False	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	signature	SIG_TCELL	TRAC,CD3D,CD3E,CD247	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322957_TR11_206	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	6	gene	SPP1	SPP1	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	gene	COL1A1	COL1A1	seed_11	-0.07224294862469	2	-0.07224294862469	0.0787067594828876	0.1509497081075776	1	True	1	True	0	0	-0.133742705030512	-0.050565725831305	3	0	False	BayesSpace	-0.043962076616923	0.1255246230598921	True	True	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	gene	EPCAM	EPCAM	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	gene	FAP	FAP	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
GSE311294	GSM9322959_TR11_18105	Official_BayesSpace_nrep1000	Official_BayesSpace_nrep1000	4	gene	PTPRC	PTPRC	seed_11	0.0	2	0.0	0.0	0.0	0	False	0	False	0	1	0.0	0.0	3	0	False	BayesSpace	0.0	0.0	False	False	True
