citekey	doi	doi_url	doi_resolved_url	bibtex_ok	bibtex_status	crossref_ok	crossref_status	openalex_ok	openalex_status	two_source_verified	title	year	venue	oa_url	fulltext_url_checked	fulltext_accessible	full_text_read	full_text_read_notes	verified_at_utc	notes	errors
liu2023_precast	10.1038/s41467-023-35947-w	https://doi.org/10.1038/s41467-023-35947-w	https://doi.org/10.1038/s41467-023-35947-w	true	200	true	200	true	200	true	Probabilistic embedding, clustering, and alignment for integrating spatial transcriptomics data with PRECAST	2023	Nature Communications	https://www.nature.com/articles/s41467-023-35947-w.pdf	https://www.nature.com/articles/s41467-023-35947-w.pdf	skipped	pending		2026-04-21T14:46:13+00:00	PRECAST (Nat Commun)	
lloyd1982_kmeans	10.1109/TIT.1982.1056489	https://doi.org/10.1109/TIT.1982.1056489	https://api.crossref.org/v1/works/10.1109%2FTIT.1982.1056489/transform	true	200	true	200	true	200	true	Least squares quantization in PCM	1982	IEEE Transactions on Information Theory	https://hal.science/hal-04614938	https://hal.science/hal-04614938	skipped	pending		2026-04-21T14:46:13+00:00	Least squares quantization (Lloyd algorithm; k-means)	
luecken2022_integration_benchmark	10.1038/s41592-021-01336-8	https://doi.org/10.1038/s41592-021-01336-8	https://doi.org/10.1038/s41592-021-01336-8	true	200	true	200	true	200	true	Benchmarking atlas-level data integration in single-cell genomics	2021	Nature Methods	https://www.nature.com/articles/s41592-021-01336-8.pdf	https://www.nature.com/articles/s41592-021-01336-8.pdf	skipped	pending		2026-04-21T14:46:13+00:00	Single-cell integration benchmark (Nat Methods)	
lugli2017_itbcc_tumor_budding	10.1038/modpathol.2017.46	https://doi.org/10.1038/modpathol.2017.46	https://doi.org/10.1038/modpathol.2017.46	true	200	true	200	true	200	true	Recommendations for reporting tumor budding in colorectal cancer based on the International Tumor Budding Consensus Conference (ITBCC) 2016	2017	Modern Pathology	https://www.nature.com/articles/modpathol201746.pdf	https://www.nature.com/articles/modpathol201746.pdf	skipped	pending		2026-04-21T14:46:13+00:00	ITBCC 2016 tumor budding reporting consensus (Modern Pathology)	
lun2016_pooling_norm	10.1186/s13059-016-0947-7	https://doi.org/10.1186/s13059-016-0947-7	https://doi.org/10.1186/s13059-016-0947-7	true	200	true	200	true	200	true	Pooling across cells to normalize single-cell RNA sequencing data with many zero counts	2016	Genome Biology	https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-016-0947-7	https://genomebiology.biomedcentral.com/counter/pdf/10.1186/s13059-016-0947-7	skipped	pending		2026-04-21T14:46:13+00:00	scran pooling normalization (Genome Biology)	
maynard2021_dlpfc	10.1038/s41593-020-00787-0	https://doi.org/10.1038/s41593-020-00787-0	https://doi.org/10.1038/s41593-020-00787-0	true	200	true	200	true	200	true	Transcriptome-scale spatial gene expression in the human dorsolateral prefrontal cortex	2021	Nature Neuroscience	https://www.ncbi.nlm.nih.gov/pmc/articles/8095368	https://www.ncbi.nlm.nih.gov/pmc/articles/8095368	skipped	pending		2026-04-21T14:46:13+00:00	Human DLPFC Visium dataset (Nat Neurosci)	
mcCarthy2017_scater	10.1093/bioinformatics/btw777	https://doi.org/10.1093/bioinformatics/btw777	https://doi.org/10.1093/bioinformatics/btw777	true	200	true	200	true	200	true	Scater: pre-processing, quality control, normalization and visualization of single-cell RNA-seq data in R	2017	Bioinformatics	https://academic.oup.com/bioinformatics/article-pdf/33/8/1179/25150420/btw777.pdf	https://academic.oup.com/bioinformatics/article-pdf/33/8/1179/25150420/btw777.pdf	skipped	pending		2026-04-21T14:46:13+00:00	Scater QC/vis (Bioinformatics)	
moffitt2022_spatial_landscape	10.1038/s41576-022-00515-3	https://doi.org/10.1038/s41576-022-00515-3	https://doi.org/10.1038/s41576-022-00515-3	true	200	true	200	true	200	true	The emerging landscape of spatial profiling technologies	2022	Nature Reviews Genetics		https://doi.org/10.1038/s41576-022-00515-3	skipped	pending		2026-04-21T14:46:13+00:00	Spatial profiling technologies (Nat Rev Genet)	
palla2022_spatial_components	10.1038/s41587-021-01182-1	https://doi.org/10.1038/s41587-021-01182-1	https://doi.org/10.1038/s41587-021-01182-1	true	200	true	200	true	200	true	Spatial components of molecular tissue biology	2022	Nature Biotechnology	https://push-zb.helmholtz-muenchen.de/frontdoor.php?source_opus=64239	https://push-zb.helmholtz-muenchen.de/frontdoor.php?source_opus=64239	skipped	pending		2026-04-21T14:46:13+00:00	Spatial components (Nat Biotechnol)	
palla2022_squidpy	10.1038/s41592-021-01358-2	https://doi.org/10.1038/s41592-021-01358-2	https://doi.org/10.1038/s41592-021-01358-2	true	200	true	200	true	200	true	Squidpy: a scalable framework for spatial omics analysis	2022	Nature Methods	https://www.nature.com/articles/s41592-021-01358-2.pdf	https://www.nature.com/articles/s41592-021-01358-2.pdf	skipped	pending		2026-04-21T14:46:13+00:00	Squidpy framework (Nat Methods)	
pelka2021_crc_scRNA	10.1016/j.cell.2021.08.003	https://doi.org/10.1016/j.cell.2021.08.003	https://doi.org/10.1016/j.cell.2021.08.003	true	200	true	200	true	200	true	Spatially organized multicellular immune hubs in human colorectal cancer	2021	Cell	https://escholarship.org/uc/item/3b4417p8	https://escholarship.org/uc/item/3b4417p8	skipped	pending		2026-04-21T14:46:13+00:00	Spatially organized multicellular immune hubs in human colorectal cancer (Cell)	
pham2020_stlearn	10.1101/2020.05.31.125658	https://doi.org/10.1101/2020.05.31.125658	https://doi.org/10.1101/2020.05.31.125658	true	200	true	200	true	200	true	stLearn: integrating spatial location, tissue morphology and gene expression to find cell types, cell-cell interactions and spatial trajectories within undissociated tissues	2020		https://www.biorxiv.org/content/biorxiv/early/2020/05/31/2020.05.31.125658.full.pdf	https://www.biorxiv.org/content/biorxiv/early/2020/05/31/2020.05.31.125658.full.pdf	skipped	pending		2026-04-21T14:46:13+00:00	stLearn (bioRxiv)	
qi2022_fap_spp1_crc	10.1038/s41467-022-29366-6	https://doi.org/10.1038/s41467-022-29366-6	https://doi.org/10.1038/s41467-022-29366-6	true	200	true	200	true	200	true	Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer	2022	Nature Communications	https://www.nature.com/articles/s41467-022-29366-6.pdf	https://www.nature.com/articles/s41467-022-29366-6.pdf	skipped	pending		2026-04-21T14:46:13+00:00	Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in CRC (Nat Commun)	
rodriques2019_slideseq	10.1126/science.aaw1219	https://doi.org/10.1126/science.aaw1219	https://doi.org/10.1126/science.aaw1219	true	200	true	200	true	200	true	Slide-seq: A scalable technology for measuring genome-wide expression at high spatial resolution	2019	Science		https://doi.org/10.1126/science.aaw1219	skipped	pending		2026-04-21T14:46:13+00:00	Slide-seq (high-resolution sST)	
saelens2019_traj	10.1038/s41587-019-0071-9	https://doi.org/10.1038/s41587-019-0071-9	https://doi.org/10.1038/s41587-019-0071-9	true	200	true	200	true	200	true	A comparison of single-cell trajectory inference methods	2019	Nature Biotechnology	https://www.nature.com/articles/s41587-019-0071-9.pdf	https://www.nature.com/articles/s41587-019-0071-9.pdf	skipped	pending		2026-04-21T14:46:13+00:00	Trajectory inference benchmark (Nat Biotechnol)	
seferbekova2022_spatial_cancer_evo	10.1038/s41576-022-00553-x	https://doi.org/10.1038/s41576-022-00553-x	https://doi.org/10.1038/s41576-022-00553-x	true	200	true	200	true	200	true	Spatial biology of cancer evolution	2022	Nature Reviews Genetics		https://doi.org/10.1038/s41576-022-00553-x	skipped	pending		2026-04-21T14:46:13+00:00	Spatial biology of cancer evolution (Nat Rev Genet)	
shang2022_spatialpca	10.1038/s41467-022-34879-1	https://doi.org/10.1038/s41467-022-34879-1	https://doi.org/10.1038/s41467-022-34879-1	true	200	true	200	true	200	true	Spatially aware dimension reduction for spatial transcriptomics	2022	Nature Communications	https://www.nature.com/articles/s41467-022-34879-1.pdf	https://www.nature.com/articles/s41467-022-34879-1.pdf	skipped	pending		2026-04-21T14:46:13+00:00	SpatialPCA (Nat Commun)	
sklearn_zenodo	10.5281/zenodo.17880109	https://doi.org/10.5281/zenodo.17880109	https://data.crosscite.org/10.5281%2Fzenodo.17880109	true	200	false	404	true	200	true	scikit-learn	2025		https://doi.org/10.5281/zenodo.17880109	https://doi.org/10.5281/zenodo.17880109	skipped	pending		2026-04-21T14:46:13+00:00	scikit-learn software archive (Zenodo)	HTTPError 404
staahl2016_spatial	10.1126/science.aaf2403	https://doi.org/10.1126/science.aaf2403	https://doi.org/10.1126/science.aaf2403	true	200	true	200	true	200	true	Visualization and analysis of gene expression in tissue sections by spatial transcriptomics	2016	Science		https://doi.org/10.1126/science.aaf2403	skipped	pending		2026-04-21T14:46:13+00:00	Spatial transcriptomics (foundational)	
stuart2019_seurat	10.1016/j.cell.2019.05.031	https://doi.org/10.1016/j.cell.2019.05.031	https://doi.org/10.1016/j.cell.2019.05.031	true	200	true	200	true	200	true	Comprehensive Integration of Single-Cell Data	2019	Cell	http://www.cell.com/article/S0092867419305598/pdf	http://www.cell.com/article/S0092867419305598/pdf	skipped	pending		2026-04-21T14:46:13+00:00	Seurat integration (Cell)	
sun2020_spark	10.1038/s41592-019-0701-7	https://doi.org/10.1038/s41592-019-0701-7	https://doi.org/10.1038/s41592-019-0701-7	true	200	false	429	true	200	true	Statistical analysis of spatial expression patterns for spatially resolved transcriptomic studies	2020		https://www.ncbi.nlm.nih.gov/pmc/articles/7233129	https://www.ncbi.nlm.nih.gov/pmc/articles/7233129	skipped	pending		2026-04-21T14:46:13+00:00	SPARK spatial expression patterns (Nat Methods)	HTTPError 429
svensson2018_spatialde	10.1038/nmeth.4636	https://doi.org/10.1038/nmeth.4636	https://doi.org/10.1038/nmeth.4636	true	200	true	200	true	200	true	SpatialDE: identification of spatially variable genes	2018	Nature Methods	https://www.ncbi.nlm.nih.gov/pmc/articles/6350895	https://www.ncbi.nlm.nih.gov/pmc/articles/6350895	skipped	pending		2026-04-21T14:46:13+00:00	SpatialDE: identification of spatially variable genes (Nat Methods)	
tian2019_sc_benchmark	10.1038/s41592-019-0425-8	https://doi.org/10.1038/s41592-019-0425-8	https://doi.org/10.1038/s41592-019-0425-8	true	200	true	200	true	200	true	Benchmarking single cell RNA-sequencing analysis pipelines using mixture control experiments	2019	Nature Methods		https://doi.org/10.1038/s41592-019-0425-8	skipped	pending		2026-04-21T14:46:13+00:00	Single-cell pipeline benchmark (Nat Methods)	
traag2019_leiden	10.1038/s41598-019-41695-z	https://doi.org/10.1038/s41598-019-41695-z	https://doi.org/10.1038/s41598-019-41695-z	true	200	true	200	true	200	true	From Louvain to Leiden: guaranteeing well-connected communities	2019	Scientific Reports	https://www.nature.com/articles/s41598-019-41695-z.pdf	https://www.nature.com/articles/s41598-019-41695-z.pdf	skipped	pending		2026-04-21T14:46:13+00:00	Leiden algorithm (well-connected communities; Sci Rep)	
vandereyken2023_multiomics_review	10.1038/s41576-023-00580-2	https://doi.org/10.1038/s41576-023-00580-2	https://doi.org/10.1038/s41576-023-00580-2	true	200	true	200	true	200	true	Methods and applications for single-cell and spatial multi-omics	2023	Nature Reviews Genetics	https://www.nature.com/articles/s41576-023-00580-2.pdf	https://www.nature.com/articles/s41576-023-00580-2.pdf	skipped	pending		2026-04-21T14:46:13+00:00	Single-cell and spatial multi-omics review (Nat Rev Genet)	
virtanen2020_scipy	10.1038/s41592-019-0686-2	https://doi.org/10.1038/s41592-019-0686-2	https://doi.org/10.1038/s41592-019-0686-2	true	200	true	200	true	200	true	SciPy 1.0: fundamental algorithms for scientific computing in Python	2020	Nature Methods	https://www.nature.com/articles/s41592-019-0686-2.pdf	https://www.nature.com/articles/s41592-019-0686-2.pdf	skipped	pending		2026-04-21T14:46:13+00:00	SciPy 1.0 (Nat Methods)	
wilcoxon1945_ranking	10.2307/3001968	https://doi.org/10.2307/3001968	https://doi.org/10.2307/3001968	true	200	true	200	true	200	true	Individual Comparisons by Ranking Methods	1945	Biometrics Bulletin		https://doi.org/10.2307/3001968	skipped	pending		2026-04-21T14:46:13+00:00	Wilcoxon ranking methods (original; Wilcoxon signed-rank / rank-sum family)	
wolf2018_scanpy	10.1186/s13059-017-1382-0	https://doi.org/10.1186/s13059-017-1382-0	https://doi.org/10.1186/s13059-017-1382-0	true	200	true	200	true	200	true	SCANPY: large-scale single-cell gene expression data analysis	2018	Genome Biology	https://genomebiology.biomedcentral.com/track/pdf/10.1186/s13059-017-1382-0	https://genomebiology.biomedcentral.com/track/pdf/10.1186/s13059-017-1382-0	skipped	pending		2026-04-21T14:46:13+00:00	Scanpy (Genome Biology)	
you2024_nm_sst	10.1038/s41592-024-02325-3	https://doi.org/10.1038/s41592-024-02325-3	https://doi.org/10.1038/s41592-024-02325-3	true	200	true	200	true	200	true	Systematic comparison of sequencing-based spatial transcriptomic methods	2024	Nature Methods	https://www.nature.com/articles/s41592-024-02325-3.pdf	https://www.nature.com/articles/s41592-024-02325-3.pdf	skipped	pending		2026-04-21T14:46:13+00:00	Nature Methods sST technology benchmark	
yuan2024_spatial_clustering_benchmark	10.1038/s41592-024-02215-8	https://doi.org/10.1038/s41592-024-02215-8	https://doi.org/10.1038/s41592-024-02215-8	true	200	true	200	true	200	true	Benchmarking spatial clustering methods with spatially resolved transcriptomics data	2024	Nature Methods		https://doi.org/10.1038/s41592-024-02215-8	skipped	pending		2026-04-21T14:46:13+00:00	Nature Methods spatial clustering benchmark (Yuan et al.)	
zhao2021_bayesspace	10.1038/s41587-021-00935-2	https://doi.org/10.1038/s41587-021-00935-2	https://doi.org/10.1038/s41587-021-00935-2	true	200	true	200	true	200	true	Spatial transcriptomics at subspot resolution with BayesSpace	2021	Nature Biotechnology	https://www.ncbi.nlm.nih.gov/pmc/articles/8763026	https://www.ncbi.nlm.nih.gov/pmc/articles/8763026	skipped	pending		2026-04-21T14:46:13+00:00	BayesSpace (Nature Biotechnology; journal version)	
zhong2024_stamp	10.1038/s41592-024-02463-8	https://doi.org/10.1038/s41592-024-02463-8	https://doi.org/10.1038/s41592-024-02463-8	true	200	true	200	true	200	true	Interpretable spatially aware dimension reduction of spatial transcriptomics with STAMP	2024	Nature Methods	https://doi.org/10.1038/s41592-024-02463-8	https://doi.org/10.1038/s41592-024-02463-8	skipped	pending		2026-04-21T14:46:13+00:00	STAMP interpretable spatial DR (Nat Methods; Zhong et al.)	
zhou2024_gb_benchmark	10.1186/s13059-024-03361-0	https://doi.org/10.1186/s13059-024-03361-0	https://doi.org/10.1186/s13059-024-03361-0	true	200	true	200	true	200	true	Benchmarking clustering, alignment, and integration methods for spatial transcriptomics	2024	Genome Biology	https://doi.org/10.1186/s13059-024-03361-0	https://doi.org/10.1186/s13059-024-03361-0	skipped	pending		2026-04-21T14:46:13+00:00	Genome Biology ST benchmark (clustering/alignment/integration)	
zhu2018_hmrf	10.1038/nbt.4260	https://doi.org/10.1038/nbt.4260	https://doi.org/10.1038/nbt.4260	true	200	true	200	true	200	true	Identification of spatially associated subpopulations by combining scRNAseq and sequential fluorescence in situ hybridization data	2018	Nature Biotechnology	https://authors.library.caltech.edu/88987/	https://authors.library.caltech.edu/88987/	skipped	pending		2026-04-21T14:46:13+00:00	HMRF spatial subpopulations (Nat Biotechnol)	
