dataset_id	sample_id	method_id	method_label	K	reference_id	alternative_id	n_spots	n_switching	switching_fraction	n_reference_boundary	n_alternative_boundary	n_union_boundary	n_switching_in_union_boundary	fraction_switching_in_union_boundary	fraction_stable_in_union_boundary	risk_ratio	odds_ratio	odds_ratio_ci_lower	odds_ratio_ci_upper	jaccard_switching_union_boundary	median_distance_switching_to_reference_boundary	median_distance_stable_to_reference_boundary
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_23	4690	92	0.019616204690831557	2526	2544	2591	92	1.0	0.5434971726837755	1.839935974389756	155.39407881576315	9.640941178346486	2504.6641488939254	0.03550752605171748	0.0	0.0
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_37	4690	88	0.018763326226012792	2526	2567	2602	88	1.0	0.546284224250326	1.8305489260143197	147.01312388148736	9.117891524857264	2370.3789998457883	0.033820138355111454	0.0	0.0
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	6	seed_11	seed_23	4690	209	0.04456289978678039	2795	2861	2929	201	0.9617224880382775	0.6087926802053113	1.5797208463707924	16.14520711143695	7.944344410068204	32.8117336329023	0.06843718079673136	0.0	0.0
GSE267401	GSM8265211_CTC21P	Official_STAGATE_pyG	Official_STAGATE_pyG	6	seed_11	seed_37	4690	195	0.04157782515991471	2795	2853	2917	187	0.958974358974359	0.60734149054505	1.5789706020475252	15.112408424908425	7.428740194877119	30.743421146796603	0.06393162393162394	0.0	0.0
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_23	3742	22	0.005879208979155532	1631	1653	1657	22	1.0	0.43951612903225806	2.2752293577981653	57.38153469886885	3.4781034350382116	946.6769996624071	0.013277006638503319	0.0	21.409837179437066
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_37	3742	20	0.005344735435595938	1631	1648	1654	20	1.0	0.43901128425577646	2.2778457772337823	52.38819210767819	3.1660239270514174	866.8673186140533	0.012091898428053204	0.0	21.409837179437066
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	Official_STAGATE_pyG	6	seed_11	seed_23	3742	32	0.0085515766969535	2064	2084	2090	32	1.0	0.5547169811320755	1.8027210884353742	52.17998542628127	3.1926448589335936	852.8198404116823	0.015311004784688996	0.0	0.0
GSE311294	GSM9322957_TR11_206	Official_STAGATE_pyG	Official_STAGATE_pyG	6	seed_11	seed_37	3742	36	0.009620523784072688	2064	2080	2088	36	1.0	0.5536967080410146	1.8060428849902534	58.844579780755176	3.6087778252979565	959.517248554299	0.017241379310344827	0.0	0.0
GSE311294	GSM9322959_TR11_18105	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_23	3673	9	0.002450313095562211	1253	1251	1262	9	1.0	0.3419759825327511	2.9241819632881088	36.55245313123255	2.125618056596141	628.5615733103464	0.0071315372424722665	0.0	91.45295489971258
GSE311294	GSM9322959_TR11_18105	Official_STAGATE_pyG	Official_STAGATE_pyG	4	seed_11	seed_37	3673	3	0.0008167710318540703	1253	1253	1256	3	1.0	0.34141689373297	2.9289704708699125	13.500199441563622	0.6967544980392066	261.5776223546377	0.0023885350318471337	0.0	91.45295489971258
