dataset_id	sample_id	method_id	method_label	K	n_alternatives	median_ari	min_ari	max_ari	n_below_0_60	n_union_switching	union_switching_fraction
GSE311294	GSM9322957_TR11_206	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	2	0.993207833197252	0.9882857050411975	0.9981299613533064	0	21.0	0.005611972207375735
GSE311294	GSM9322957_TR11_206	M2_spatial_ward	spatial Ward	4	2	0.3780336873746867	0.3699082775525228	0.3861590971968506	2	1513.0	0.4043292357028327
GSE311294	GSM9322957_TR11_206	M2_spatial_ward	spatial Ward	6	2	0.488713676348003	0.38147582155159515	0.5959515311444108	2	1785.0	0.47701763762693744
GSE311294	GSM9322957_TR11_206	M3_spatial_leiden	spatial Leiden	4	1	0.7025364186266748	0.7025364186266748	0.7025364186266748	0	594.0	0.15873864243719935
GSE311294	GSM9322957_TR11_206	M3_spatial_leiden	spatial Leiden	6	2	0.49575646468698054	0.4701368565188977	0.5213760728550634	2	1670.0	0.4462854088722608
GSE311294	GSM9322957_TR11_206	M4_spagcn	SpaGCN-style	4	2	0.9069315794016521	0.8980296230419237	0.9158335357613805	0	189.0	0.05050774986638162
GSE311294	GSM9322957_TR11_206	M4_spagcn	SpaGCN-style	6	2	0.8506665355248676	0.8433771651601655	0.8579559058895697	0	323.0	0.0863174772848744
GSE311294	GSM9322957_TR11_206	M5_stagate	STAGATE-style	4	2	0.5890197742925809	0.4169336881962351	0.7611058603889268	1	1268.0	0.3388562266167825
GSE311294	GSM9322957_TR11_206	M5_stagate	STAGATE-style	6	2	0.6545850049194575	0.5461594768528572	0.7630105329860579	1	1061.0	0.2835382148583645
GSE311294	GSM9322958_TR11_16184	BayesSpace	BayesSpace	4	2	0.6713895291253124	0.4545234209178606	0.8882556373327641	1	2071.0	0.43765849535080303
GSE311294	GSM9322958_TR11_16184	BayesSpace	BayesSpace	6	2	0.706447949351205	0.6796126415312649	0.7332832571711453	0	1500.0	0.3169907016060862
GSE311294	GSM9322958_TR11_16184	M0_expr_kmeans	expression-only k-means	4	2	0.9973141070158966	0.9946282140317934	1.0	0	9.0	0.0019019442096365174
GSE311294	GSM9322958_TR11_16184	M0_expr_kmeans	expression-only k-means	6	2	0.9159223880006245	0.8341301993448184	0.9977145766564307	0	407.0	0.0860101437024514
GSE311294	GSM9322958_TR11_16184	M1_spatial_concat_kmeans	coordinate-augmented k-means	4	2	1.0	1.0	1.0	0		
GSE311294	GSM9322958_TR11_16184	M1_spatial_concat_kmeans	coordinate-augmented k-means	6	2	0.9125834578567042	0.8270628086836803	0.9981041070297283	0	430.0	0.09087066779374471
GSE311294	GSM9322958_TR11_16184	M2_spatial_ward	spatial Ward	4	2	0.6376152748457502	0.619083028217888	0.6561475214736123	0	1463.0	0.3091715976331361
GSE311294	GSM9322958_TR11_16184	M2_spatial_ward	spatial Ward	6	2	0.7231833752959811	0.7193739240564353	0.7269928265355268	0	1275.0	0.2694420963651733
GSE311294	GSM9322958_TR11_16184	M3_spatial_leiden	spatial Leiden	4	2	0.504439263736448	0.48358104600540514	0.5252974814674909	2	1774.0	0.37489433643279796
