dataset_id	sample_id	method_id	method_label	K	sensitivity_factor	reference_setting	alternative_setting	metric_name	metric_value	status	scope	source_file
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.942027704378276	success	all 13 CRC sections	stability_pairwise.tsv
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.7106989058111293	success	all 13 CRC sections	stability_pairwise.tsv
GSE267401	GSM8265213_CTC17P	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.9075398767318732	success	all 13 CRC sections	stability_pairwise.tsv
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.3514791606726976	success	all 13 CRC sections	stability_pairwise.tsv
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.6479964368123238	success	all 13 CRC sections	stability_pairwise.tsv
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.5718574439981384	success	all 13 CRC sections	stability_pairwise.tsv
GSE267401	GSM8265214_CTC17M	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.4317663879263546	success	all 13 CRC sections	stability_pairwise.tsv
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.6057680270481127	success	all 13 CRC sections	stability_pairwise.tsv
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.6302388688549071	success	all 13 CRC sections	stability_pairwise.tsv
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.7489843505568381	success	all 13 CRC sections	stability_pairwise.tsv
GSE285505	GSM8703563_Tumor19	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.7993333624219351	success	all 13 CRC sections	stability_pairwise.tsv
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.6643544416058914	success	all 13 CRC sections	stability_pairwise.tsv
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.2927983475772002	success	all 13 CRC sections	stability_pairwise.tsv
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.8583967887941091	success	all 13 CRC sections	stability_pairwise.tsv
GSE285505	GSM8703564_Tumor20	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.848057928156838	success	all 13 CRC sections	stability_pairwise.tsv
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.8529851588018181	success	all 13 CRC sections	stability_pairwise.tsv
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.8290201969878053	success	all 13 CRC sections	stability_pairwise.tsv
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.8450939654168796	success	all 13 CRC sections	stability_pairwise.tsv
GSE285505	GSM8703565_Tumor24	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.531487051956965	success	all 13 CRC sections	stability_pairwise.tsv
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.9013724450591092	success	all 13 CRC sections	stability_pairwise.tsv
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.8895610137480333	success	all 13 CRC sections	stability_pairwise.tsv
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.5632932648527977	success	all 13 CRC sections	stability_pairwise.tsv
GSE285505	GSM8703566_Tumor26	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.755671499492055	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.5719112019940297	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.3223038194294929	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.6759184725489816	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322957_TR11_206	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.5416056338642015	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322958_TR11_16184	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.4545234209178606	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322958_TR11_16184	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.8882556373327641	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322958_TR11_16184	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.7332832571711453	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322958_TR11_16184	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.6796126415312649	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322959_TR11_18105	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.6023154570081374	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322959_TR11_18105	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.9366985187074904	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322959_TR11_18105	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.5391898969819523	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322959_TR11_18105	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.498869144059121	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.958538065222064	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	4	random_seed	seed_11	seed_37	ARI_to_reference_partition	0.9713024832978964	success	all 13 CRC sections	stability_pairwise.tsv
GSE311294	GSM9322960_TR11_21723	BayesSpace	BayesSpace	6	random_seed	seed_11	seed_23	ARI_to_reference_partition	0.9402580393780384	success	all 13 CRC sections	stability_pairwise.tsv
