dataset_id	sample_id	method_id	method_label	K	partition_id	is_reference	status	status_reason	tumor_label	stroma_label	tumor_domain_n	stroma_domain_n	tumor_epcam_median	stroma_epcam_median	tumor_stroma_proxy_median	stroma_proxy_median	contrast_id	contrast_label	feature_type	feature_id	genes_used	n_tumor_interface	n_stroma_interface	n_stroma_interior	n_tumor_interior	median_stroma_interface	median_stroma_interior	median_tumor_interface	median_delta	bootstrap_ci_lower	bootstrap_ci_upper	bootstrap_replicates	pvalue_mannwhitney_spot_level	n_mixed_blocks	block_median_delta	block_interval_lower	block_interval_upper	reference_id	reference_delta	reference_ci_lower	reference_ci_upper	reference_block_delta	opposite_sign_vs_reference	reference_interval_excludes_zero	partition_interval_excludes_zero	interval_supported_opposite_sign_vs_reference	attenuated_below_25pct_reference	effect_relation_to_reference
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_37	False	success		3.0	1.0	995.0	1750.0	3.058317000785339	0.0	1.1063792651140922	2.724876945121058	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_MY_SPP1	SPP1,LST1,TYROBP,C1QA,C1QB,C1QC	47.0	34.0	1367.0	828.0	0.2727330046648255	0.0	0.1889069624142085	0.2727330046648255	0.0	0.2964930615755233	1000.0		2.0	-0.2352201721036095	-0.271321922652379	-0.1991184215548401	seed_11	0.2661636892580239	0.0	0.2880537454793338	-0.2333848169447684	False	False	False	False	False	same_direction_or_zero
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_11	True	success		4.0	1.0	993.0	1746.0	3.058317000785339	0.0	1.1080910815773508	2.727020393664626	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_TCELL	TRAC,CD3D,CD3E,CD247	43.0	34.0	1360.0	829.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0		2.0	0.0	0.0	0.0	seed_11	0.0	0.0	0.0	0.0	False	False	False	False	False	reference
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_23	False	success		2.0	1.0	995.0	1737.0	3.0556585544648067	0.0	1.11584916302153	2.7273252684793627	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_TCELL	TRAC,CD3D,CD3E,CD247	37.0	32.0	1358.0	838.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0		2.0	0.0	0.0	0.0	seed_11	0.0	0.0	0.0	0.0	False	False	False	False	False	same_direction_or_zero
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_37	False	success		3.0	1.0	995.0	1750.0	3.058317000785339	0.0	1.1063792651140922	2.724876945121058	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	signature	SIG_TCELL	TRAC,CD3D,CD3E,CD247	47.0	34.0	1367.0	828.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0		2.0	0.0	0.0	0.0	seed_11	0.0	0.0	0.0	0.0	False	False	False	False	False	same_direction_or_zero
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_11	True	success		4.0	1.0	993.0	1746.0	3.058317000785339	0.0	1.1080910815773508	2.727020393664626	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	gene	SPP1	SPP1	43.0	34.0	1360.0	829.0	0.0	0.0	0.3316848436421205	0.0	0.0	1.5544708951360229	1000.0		2.0	-1.072800105965456	-2.0919602066326397	-0.0536400052982728	seed_11	0.0	0.0	1.5544708951360229	-1.072800105965456	False	False	False	False	False	reference
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_23	False	success		2.0	1.0	995.0	1737.0	3.0556585544648067	0.0	1.11584916302153	2.7273252684793627	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	gene	SPP1	SPP1	37.0	32.0	1358.0	838.0	0.0	0.0	0.3640427811907328	0.0	0.0	1.6363980279889532	1000.0		2.0	-1.072800105965456	-2.0919602066326397	-0.0536400052982728	seed_11	0.0	0.0	1.5544708951360229	-1.072800105965456	False	False	False	False	False	same_direction_or_zero
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	4	seed_37	False	success		3.0	1.0	995.0	1750.0	3.058317000785339	0.0	1.1063792651140922	2.724876945121058	stroma_interface_minus_stroma_interior	COL1A1/FAP-high side adjacent to EPCAM-high domain minus its clear interior	gene	SPP1	SPP1	47.0	34.0	1367.0	828.0	0.0	0.0	0.3640427811907328	0.0	0.0	1.6363980279889532	1000.0		2.0	-1.072800105965456	-2.0919602066326397	-0.0536400052982728	seed_11	0.0	0.0	1.5544708951360229	-1.072800105965456	False	False	False	False	False	same_direction_or_zero
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	6	seed_11	True	not_evaluable	selected_domains_not_adjacent_with_enough_interface_spots	4.0	1.0	627.0	1490.0	3.1504748778436404	0.0	0.7413126839413147	2.8343256329305264						0.0	0.0																				False	False	False	False	False	not_evaluable
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	6	seed_23	False	not_evaluable	selected_domains_not_adjacent_with_enough_interface_spots	3.0	1.0	674.0	1472.0	3.148143294991301	0.0	0.7778005965798811	2.8326511709142643						0.0	0.0																				False	False	False	False	False	not_evaluable
GSE267401	GSM8265211_CTC21P	Official_BayesSpace_nrep1000	Official BayesSpace nrep1000	6	seed_37	False	not_evaluable	selected_domains_not_adjacent_with_enough_interface_spots	3.0	1.0	675.0	1465.0	3.149950214533044	0.0	0.778209963723652	2.831621434909486						7.0	1.0																				False	False	False	False	False	not_evaluable
