dataset_id	sample_id	method_id	method_label	K	partition_id	is_reference	feature_type	feature_id	genes_used	n_boundary	n_interior	median_boundary	median_interior	median_delta_boundary_minus_interior	bootstrap_ci_lower	bootstrap_ci_upper	bootstrap_replicates	pvalue_mannwhitney_spot_level	n_mixed_blocks	block_median_delta	block_interval_lower	block_interval_upper	fdr_bh_within_partition
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	True	signature	SIG_TCELL	TRAC,CD3D,CD3E,CD247	1303	3387	0.0	0.0	0.0	0.0	0.0	1000	0.1566832614388173	31	0.0	-0.04716956564563726	0.36765130401056656	0.1915017639807767
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_23	False	signature	SIG_TCELL	TRAC,CD3D,CD3E,CD247	1297	3393	0.0	0.0	0.0	0.0	0.0	1000	0.7067189719488498	32	0.0	-0.07193923736936646	0.35477969439804513	0.7067189719488498
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_37	False	signature	SIG_TCELL	TRAC,CD3D,CD3E,CD247	1307	3383	0.0	0.0	0.0	0.0	0.0	1000	0.2992738546986109	32	0.0	-0.06937874798698751	0.371460889742937	0.32920124016847196
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_11	True	gene	SPP1	SPP1	1303	3387	0.0	0.0	0.0	0.0	0.0	1000	0.22927529094104993	31	0.0	-0.37607847689909707	1.491442334573534	0.25220282003515493
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_23	False	gene	SPP1	SPP1	1297	3393	0.0	0.0	0.0	0.0	0.0	1000	0.08547764724382362	32	0.0	-0.32299570537809996	1.5390235372101342	0.1044726799646733
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	4	seed_37	False	gene	SPP1	SPP1	1307	3383	0.0	0.0	0.0	0.0	0.0	1000	0.1736013167338174	32	0.0	-0.34749847040716364	1.2528937978094703	0.21217938711911014
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_11	True	gene	COL1A1	COL1A1	2131	2559	2.4509045868755353	3.819413499533383	-1.3685089126578478	-1.5934215544898824	-1.1483491724157326	1000	8.299569326097358e-50	34	0.049714675091373395	-1.7436360101622645	2.2990001023763624	4.564763129353547e-49
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_23	False	gene	COL1A1	COL1A1	2116	2574	2.434291273673327	3.791606897887174	-1.357315624213847	-1.5662432058177238	-1.1519918881825093	1000	1.2220096438417455e-51	35	0.016484275243487057	-1.618965060338072	2.3843427747802406	6.7210530411296e-51
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_37	False	gene	COL1A1	COL1A1	2129	2561	2.4446327506500602	3.783733682110981	-1.3391009314609206	-1.5539439863544602	-1.0882699830947336	1000	6.579569909207074e-48	35	0.08964841599529816	-1.5341219651943856	2.3056208499821094	3.6187634500638905e-47
GSE267401	GSM8265211_CTC21P	BayesSpace	BayesSpace	6	seed_11	True	gene	EPCAM	EPCAM	2131	2559	2.8683044331422547	2.35364026379433	0.5146641693479248	0.40317931590473527	0.6273410966187419	1000	3.129708203900883e-98	34	0.03549794235041759	-0.41725995886541106	2.25376821600101	3.4426790242909713e-97
