dataset_id	sample_id	method_id	method_label	K	reference_id	alternative_id	stability_type	ari	below_0_60	n_spots	n_switching	switching_fraction
GSE267401	GSM8265213_CTC17P	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_23	seed_pair_ari	0.9598830682675051	False	3721	59	0.01585595270088686
GSE267401	GSM8265213_CTC17P	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_37	seed_pair_ari	0.9908788921288165	False	3721	17	0.004568664337543671
GSE267401	GSM8265214_CTC17M	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_23	seed_pair_ari	0.9866973982997029	False	4757	22	0.004624763506411604
GSE267401	GSM8265214_CTC17M	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_37	seed_pair_ari	0.9878718126977508	False	4757	20	0.004204330460374185
GSE267401	GSM8265214_CTC17M	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_23	seed_pair_ari	1.0	False	4757	0	0.0
GSE267401	GSM8265214_CTC17M	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_37	seed_pair_ari	0.9928605160533893	False	4757	13	0.0027328147992432207
GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_23	seed_pair_ari	0.9945533802126167	False	3493	7	0.002004008016032064
GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_37	seed_pair_ari	0.9849760443965451	False	3493	18	0.005153163469796736
GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_23	seed_pair_ari	0.9886587383265739	False	3493	16	0.004580589750930432
GSE285505	GSM8703563_Tumor19	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_37	seed_pair_ari	0.9921500174662173	False	3493	10	0.0028628685943315204
GSE285505	GSM8703564_Tumor20	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_23	seed_pair_ari	0.9986773723574646	False	2473	1	0.0004043671653861706
GSE285505	GSM8703564_Tumor20	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_37	seed_pair_ari	0.9774797220647143	False	2473	25	0.010109179134654266
GSE285505	GSM8703564_Tumor20	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_23	seed_pair_ari	0.9941187575546181	False	2473	6	0.002426202992317024
GSE285505	GSM8703564_Tumor20	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_37	seed_pair_ari	0.9941187575546181	False	2473	6	0.002426202992317024
GSE285505	GSM8703565_Tumor24	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_23	seed_pair_ari	1.0	False	3563	0	0.0
GSE285505	GSM8703565_Tumor24	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_37	seed_pair_ari	0.9882318088770128	False	3563	17	0.0047712601740106655
GSE285505	GSM8703565_Tumor24	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_23	seed_pair_ari	0.998882269332491	False	3563	2	0.000561324726354196
GSE285505	GSM8703565_Tumor24	M0_expr_kmeans	expression-only k-means	6	seed_11	seed_37	seed_pair_ari	0.998882269332491	False	3563	2	0.000561324726354196
GSE285505	GSM8703566_Tumor26	M0_expr_kmeans	expression-only k-means	4	seed_11	seed_23	seed_pair_ari	0.98796840385798	False	3415	16	0.004685212298682284
